X1,X2,X3,X4,X5,z_score,zone,revenue_growth,leverage_ratio,interest_coverage,defaulted
0.1915,0.1663,0.0844,0.8659,0.8353,1.7377,grey,0.1135,1.367,2.3267,0
0.1003,0.114,0.0143,-0.0323,0.239,0.4378,distress,-0.0345,4.8275,0.7107,1
0.131,-0.0444,0.0706,1.0435,0.6575,1.3701,grey,-0.0023,1.1221,1.8098,0
0.0923,0.1187,0.1711,0.3433,1.1569,1.9971,grey,-0.0613,1.4517,3.4313,0
0.2589,0.3559,0.1667,2.1237,1.1959,3.0905,safe,0.1221,0.9039,4.0099,0
0.2901,0.0362,0.0401,0.8634,0.9976,1.7215,grey,0.0447,1.562,2.163,0
0.0014,0.1274,0.0416,0.8258,0.7015,1.2851,grey,-0.067,0.8619,2.8905,0
0.1998,0.1282,0.0239,1.0301,0.5938,1.3512,grey,0.0911,1.2054,3.3678,0
0.1049,0.1258,0.0152,1.3118,1.1799,1.9575,grey,0.0308,1.6361,2.8216,0
-0.1009,-0.2335,-0.0634,0.4266,0.5041,0.2151,distress,0.246,4.0918,1.1509,1
0.4615,0.3383,0.1721,1.9744,1.7853,3.7632,safe,0.2046,0.3939,6.2246,0
0.309,0.15,0.1339,0.434,0.6923,1.6379,grey,0.0202,1.0181,3.4521,0
0.1512,-0.0707,0.1058,0.1342,1.2675,1.6987,grey,0.0219,1.9796,3.6192,0
-0.129,-0.2687,0.0733,0.5131,0.8344,0.9558,distress,0.1372,2.4393,1.3966,0
0.2393,0.058,0.0491,0.6031,0.7586,1.3835,grey,0.0869,1.7423,3.0547,0
0.4463,0.2275,0.1288,2.0299,1.4966,3.2589,safe,0.0824,0.8156,7.6777,0
0.0053,0.2578,0.0936,0.9139,0.8227,1.718,grey,-0.0021,1.8423,1.5353,0
0.4055,0.3309,0.2389,1.2176,1.8026,3.6237,safe,0.0224,0.8551,10.7827,0
0.0789,-0.0688,-0.0686,0.4541,1.0169,0.9908,distress,-0.1457,2.0025,1.1576,0
0.1086,-0.0432,-0.0922,0.0549,1.0753,0.8509,distress,-0.0198,2.2507,0.8244,1
0.2232,-0.0175,0.0598,0.541,1.2234,1.7792,grey,-0.0845,2.2613,2.4455,0
0.4204,0.1515,0.044,0.5917,0.6643,1.4781,grey,0.0756,0.9148,2.7806,0
0.0978,0.0445,0.1451,0.99,1.0512,2.0235,grey,0.0973,0.9938,3.8241,0
0.3913,0.3431,0.3085,1.5968,1.0463,3.2445,safe,0.0312,0.6287,5.5158,0
0.3457,0.4998,0.1879,1.834,1.3644,3.3871,safe,0.1337,0.5585,5.888,0
0.1977,0.12,0.082,1.0882,0.4118,1.3661,grey,-0.1282,1.2877,2.1261,0
0.2231,0.0523,0.0262,0.8673,1.0502,1.6981,grey,0.0333,1.799,3.2952,0
0.2529,-0.0571,0.0973,1.1569,0.8617,1.7811,grey,0.0485,0.9514,2.4881,0
0.0311,0.0638,0.0413,0.6678,1.2306,1.7133,grey,0.0563,1.8645,3.7805,0
0.0868,-0.2083,0.0212,0.0454,0.5389,0.5086,distress,-0.1276,2.9286,1.0783,0
0.0008,0.1243,0.074,1.1509,0.8553,1.6729,grey,-0.0386,2.3524,2.1168,0
0.3464,0.1635,0.1647,1.4289,1.4773,2.973,safe,0.0821,0.4066,9.0583,0
0.4976,0.3368,0.2308,1.5145,1.4441,3.4365,safe,0.1441,0.9289,10.1003,0
0.3727,0.4319,0.3486,1.5067,1.6306,3.9761,safe,0.0946,0.3966,10.3259,0
-0.1001,0.0874,0.0444,0.6932,0.313,0.7437,distress,-0.0865,3.0125,1.1775,0
0.4195,0.3256,0.2191,1.7956,1.354,3.3627,safe,0.0549,0.7325,10.9131,0
-0.175,0.2238,0.0335,0.4426,0.298,0.6514,distress,-0.1423,4.7808,0.8311,0
0.1738,0.1129,0.0585,1.039,0.841,1.6777,grey,-0.0115,0.8545,3.036,0
0.0672,0.0579,0.0065,0.3089,0.8896,1.1348,distress,-0.0468,3.4745,0.478,1
0.0513,-0.016,-0.0029,0.4147,0.5391,0.7266,distress,-0.086,2.3716,0.8567,0
0.0952,-0.113,0.027,0.392,0.9486,1.1677,distress,-0.0517,4.1882,1.478,0
0.3453,0.3279,0.1195,2.1621,1.2189,3.0213,safe,-0.0335,0.3775,6.0195,0
0.2152,0.1697,0.0781,0.8593,0.6037,1.5042,grey,-0.1431,1.745,2.2435,0
0.3995,0.3974,0.2545,2.365,1.3842,3.7885,safe,0.1159,0.7706,6.8267,0
0.3711,0.1102,-0.0296,0.6356,1.208,1.7399,grey,0.0487,1.2461,2.6593,1
0.227,-0.0315,0.0909,1.2725,1.0222,1.973,grey,0.0219,2.1775,2.4446,0
0.3278,0.1529,0.1191,1.9568,1.4514,3.0048,safe,0.1998,0.6435,11.5026,0
0.4249,0.2715,0.1919,2.3446,1.5983,3.7106,safe,0.0759,0.3874,8.0362,0
0.2283,0.2329,0.1987,2.3777,1.3826,3.3569,safe,-0.0575,0.6658,10.1114,0
0.1352,0.0749,0.0578,0.7881,1.0106,1.6797,grey,-0.0113,1.5008,3.3991,0
-0.0841,-0.0617,-0.0099,0.3745,0.9089,0.921,distress,-0.0714,4.0867,0.4224,0
0.1794,-0.0903,0.0386,-0.0687,0.5306,0.6728,distress,-0.1674,2.7339,0.2179,0
0.0871,0.1574,0.0898,0.9888,0.933,1.821,grey,0.0673,2.1037,3.516,0
0.3214,0.281,0.1132,2.0898,1.3574,3.0525,safe,-0.0097,0.8652,11.9899,0
0.5184,0.2469,0.2427,1.834,1.0764,3.1793,safe,-0.0285,0.574,6.6341,0
0.4104,0.0899,0.0571,1.0307,1.1048,2.0832,grey,-0.0275,0.8907,3.8509,0
-0.1783,-0.0837,0.0963,-0.0831,0.7696,0.8336,distress,-0.1976,2.6504,0.6393,0
0.333,0.2221,0.2058,1.3742,1.3997,3.0403,safe,0.1451,0.3389,6.2449,0
0.2939,0.3698,0.1866,1.8007,1.6419,3.4987,safe,-0.0671,0.4346,5.7664,0
-0.1196,-0.0302,-0.0405,0.6009,0.5347,0.5488,distress,-0.0099,2.6977,0.3027,0
0.1111,0.2382,0.1053,0.4065,1.0678,1.8451,grey,-0.0442,0.9322,3.4126,0
0.2803,0.399,0.1093,2.1912,1.1428,2.9393,safe,0.1503,0.3666,9.8057,0
0.0423,-0.3179,-0.0124,0.602,0.4312,0.4056,distress,0.027,4.8107,1.0737,0
0.1802,0.2012,-0.0029,0.7976,0.9685,1.5921,grey,-0.0111,2.0469,1.5804,0
0.0617,0.1831,0.025,0.7285,0.8713,1.4524,grey,0.1215,2.3305,3.3143,1
0.4379,0.3778,0.184,2.3636,1.3403,3.5358,safe,0.0284,0.6882,4.5105,0
0.0461,0.1441,0.007,0.778,0.5787,1.0813,distress,-0.1366,2.5458,1.3706,0
-0.1317,0.0104,-0.0579,0.1318,0.7682,0.5565,distress,-0.07,4.0281,0.7304,0
0.2825,0.3404,0.2139,2.7181,1.1391,3.434,safe,0.1026,0.6246,9.521,0
-0.1227,0.1832,0.0099,-0.147,0.7893,0.8241,distress,0.1345,3.8188,0.3062,1
-0.2483,-0.1806,-0.0316,0.3793,0.7764,0.5051,distress,0.0294,4.3951,1.7323,0
0.0695,-0.0247,0.1572,0.877,0.4714,1.3561,grey,-0.04,0.8581,3.4255,0
0.2876,0.3023,0.144,2.61,1.3091,3.3125,safe,0.0669,0.8204,10.8172,0
0.3142,0.3804,0.2832,1.1089,1.3178,3.2084,safe,0.0176,0.3296,11.0732,0
0.3377,0.3996,0.2436,2.3129,1.2117,3.518,safe,0.0293,0.6875,7.1693,0
0.0436,-0.0263,0.1165,1.3427,1.2563,2.1887,grey,-0.1038,0.8781,2.3805,0
0.01,-0.5292,0.0251,0.2773,0.6873,0.4394,distress,0.0107,4.2623,0.7676,0
-0.0109,0.1735,0.1362,0.7865,0.4098,1.3015,grey,0.0594,1.1441,2.8486,0
0.0808,-0.2042,-0.0708,0.1933,0.9223,0.6665,distress,-0.1142,4.4375,1.3782,1
0.4335,0.3357,0.2678,1.2056,1.0081,2.9396,safe,0.0244,0.7067,6.775,0
0.0013,-0.1971,0.0922,0.1247,0.6156,0.7873,distress,-0.0493,2.877,1.0332,0
0.1818,-0.1293,0.023,0.0357,0.5882,0.6942,distress,-0.0389,2.6467,0.6318,0
0.1928,0.2933,0.1097,1.5409,1.6534,3.0247,safe,0.1183,0.8566,11.5682,0
0.1889,0.0896,-0.025,1.0519,1.2588,1.8318,grey,0.1143,2.3337,3.6937,0
0.4371,0.3224,0.2207,1.8338,1.2867,3.3266,safe,0.1179,0.7936,10.2458,0
0.1445,0.2106,0.1432,0.3735,0.8219,1.7041,grey,0.1051,1.292,3.4902,0
0.3295,0.0996,0.2763,1.5712,1.2324,3.0687,safe,0.1586,0.8778,6.3629,0
0.0964,0.0479,0.1588,0.2892,0.5397,1.2631,grey,0.0877,1.8089,2.9784,0
0.1934,0.1401,0.0098,1.1368,0.8765,1.6399,grey,-0.0678,2.2325,2.3098,0
0.1089,0.1272,0.1298,0.6186,0.4394,1.2875,grey,-0.1242,1.1956,3.5916,0
-0.1863,-0.0372,0.0033,0.1784,0.5059,0.4249,distress,0.2072,3.5549,0.3599,1
0.0443,0.0358,0.0728,0.435,1.1105,1.5793,grey,-0.0542,2.0629,2.0927,0
0.2872,0.3311,0.1559,1.9221,1.282,3.0574,safe,0.0116,0.4249,5.5963,0
0.1469,0.1028,0.0079,0.645,1.1287,1.6143,grey,-0.0858,1.0885,3.4914,0
0.2252,0.1303,0.1993,0.47,0.8743,1.9612,grey,0.1359,2.4773,1.7345,0
-0.2453,-0.131,0.0612,0.2163,0.5566,0.5498,distress,0.0563,3.6001,0.7181,1
0.3512,0.3481,0.2068,2.1327,1.1705,3.253,safe,0.0546,0.7412,6.8945,0
0.2929,0.2834,0.2929,1.7151,1.3241,3.402,safe,0.0661,0.3922,5.0053,0
-0.3692,-0.2527,0.0366,0.3228,0.7461,0.515,distress,0.1351,3.8073,0.8048,0
0.3865,0.6179,0.2311,1.4464,1.4907,3.6137,safe,0.0583,0.6273,5.5739,0
0.4836,0.2809,0.2642,1.5787,1.6365,3.7019,safe,0.0879,0.6036,7.7546,0
-0.1676,0.1739,-0.0467,0.5657,0.5359,0.6545,distress,0.1413,4.9538,1.2848,1
0.0629,0.2801,0.0828,0.8736,0.4559,1.3615,grey,-0.0358,1.6841,3.6068,0
0.4564,0.1858,0.1804,3.0988,1.2669,3.6109,safe,0.166,0.9205,11.3685,0
0.1116,0.1431,0.0674,0.7872,0.9196,1.659,grey,-0.0375,1.4835,2.0617,0
-0.1855,-0.1114,-0.0126,0.0723,0.5896,0.3524,distress,-0.1075,2.2949,0.2687,0
0.1286,-0.024,0.1747,1.0047,0.8825,1.9172,grey,-0.016,1.3684,1.915,0
0.1532,0.1318,0.0565,0.9306,0.7049,1.4914,grey,0.0457,0.9329,3.6245,0
0.3028,0.3264,0.1831,1.6539,1.169,2.9239,safe,0.0649,0.66,10.8606,0
-0.2526,-0.1467,-0.0273,0.4739,0.9945,0.8014,distress,0.0456,3.7823,0.5918,0
0.2109,0.4439,0.1714,1.945,1.8977,3.7705,safe,0.171,0.9277,7.8045,0
0.361,0.5445,0.0974,2.536,1.245,3.3301,safe,0.1047,0.4805,8.6877,0
0.0517,0.1421,0.1298,0.7611,0.9175,1.796,grey,0.05,1.7388,2.0294,0
0.1607,0.1878,0.1489,0.7993,1.1038,2.1743,grey,-0.0391,1.3434,2.2349,0
0.5437,0.4106,0.1223,1.9739,1.0779,3.0223,safe,0.0629,0.7567,6.5297,0
-0.1747,-0.3665,0.061,0.532,0.9615,0.9368,distress,-0.107,2.1349,1.5972,0
-0.1014,-0.028,0.026,0.5042,0.5629,0.7579,distress,-0.0559,3.8854,0.8737,1
-0.261,0.0532,-0.0169,0.2182,0.7103,0.6061,distress,0.0543,3.5172,1.5112,0
0.3071,0.2456,0.0301,0.6943,1.0201,1.8314,grey,0.1872,0.9824,2.0918,0
0.5079,0.316,0.1729,1.9429,1.5918,3.5736,safe,0.0932,0.7632,6.9893,0
0.369,0.1545,0.2602,2.424,1.1242,3.3439,safe,0.1018,0.8045,11.7057,0
0.3587,0.3327,0.1324,1.8133,1.3712,3.0805,safe,0.1171,0.3723,10.9292,0
0.19,-0.0366,0.0463,0.5339,0.4076,0.8801,distress,0.0155,2.704,0.8292,0
0.153,0.1199,-0.0308,0.2915,0.7225,0.959,distress,-0.1586,3.1439,1.6012,0
0.1137,-0.027,0.017,0.2808,0.4913,0.7196,distress,-0.0672,3.3539,1.2119,1
0.0801,0.1234,0.0757,0.7179,1.0976,1.794,grey,-0.0973,1.3482,3.2432,0
0.2465,0.127,0.0996,0.8912,0.8771,1.8434,grey,-0.0272,2.4677,1.6059,0
0.3414,0.3791,0.2007,2.1342,0.9935,3.0772,safe,0.1339,0.9924,8.4478,0
0.2042,0.1396,0.0873,0.7475,1.1614,2.0089,grey,-0.0506,0.9508,2.5171,0
0.062,0.1739,0.123,1.2676,0.681,1.786,grey,-0.0059,2.1574,2.1728,0
0.2408,0.1301,-0.0732,0.4166,1.3715,1.5993,grey,-0.0283,1.6466,2.9511,0
0.2024,0.07,-0.0371,0.3403,0.8099,1.0404,distress,-0.241,2.8657,0.5861,1
-0.0752,0.0644,0.039,0.4464,0.5339,0.8421,distress,-0.1645,2.4476,1.0534,0
0.266,0.2176,0.219,2.1716,1.3629,3.3278,safe,0.0401,0.8633,7.0998,0
0.4829,0.4246,0.2376,1.0426,1.4487,3.3277,safe,0.1043,0.9604,5.0155,0
0.2183,0.3836,0.201,2.9913,1.3261,3.6856,safe,0.1033,0.8487,7.5071,0
0.1387,0.039,0.0863,0.6249,0.7679,1.4295,grey,0.0524,1.16,1.725,0
0.345,0.2815,0.1391,2.4113,1.1536,3.0822,safe,0.0543,0.4362,7.7338,0
0.191,0.0827,0.1987,0.2787,0.9509,1.8906,grey,-0.069,2.007,3.0889,0
0.3286,0.2202,0.2057,2.0195,1.042,2.9492,safe,0.0181,0.9711,4.3232,0
0.4774,0.2372,0.1418,2.0706,1.4289,3.2795,safe,0.1069,0.5609,4.3896,0
0.4306,0.3677,0.1227,2.2869,1.4096,3.3687,safe,0.0861,0.5339,5.9536,0
0.2116,-0.0662,-0.0131,0.7158,1.2875,1.6406,grey,-0.0205,1.0431,1.9826,0
0.2795,0.282,0.1918,2.2103,1.0819,3.0433,safe,0.1113,0.3253,4.0434,0
0.3184,0.3365,0.2168,1.7295,1.6595,3.5695,safe,0.1405,0.9549,4.4759,0
0.311,0.4848,0.1695,2.6339,0.8689,3.1338,safe,0.1152,0.3124,7.6262,0
0.0087,-0.159,-0.071,0.3228,0.9698,0.7545,distress,-0.1798,4.7699,0.6605,0
0.1825,0.2514,0.1768,2.684,1.2391,3.2569,safe,0.139,0.9412,5.8417,0
0.3515,0.369,0.2084,1.6079,1.5057,3.39,safe,0.1418,0.579,11.9231,0
0.0506,0.1436,0.1261,0.998,1.3791,2.3453,grey,-0.0434,1.4142,3.6316,0
0.0612,0.0364,-0.0476,0.5227,0.4868,0.6323,distress,-0.034,2.0374,0.8945,0
0.0837,0.2738,0.1364,0.8293,0.6649,1.7275,grey,-0.027,2.1165,3.0773,0
-0.2283,0.0596,0.0444,0.4953,0.7098,0.9413,distress,0.0177,4.9141,1.0848,1
0.0739,0.0155,0.0584,0.4153,0.6389,1.0596,distress,-0.0764,2.8114,0.7947,1
0.4752,0.2479,0.1539,1.5604,1.4372,3.1185,safe,0.1699,0.757,11.6428,0
0.4214,0.3242,0.1432,2.5256,1.0678,3.1479,safe,0.0819,0.6602,9.4183,0
0.1472,0.1355,0.1903,0.6429,1.0056,2.0852,grey,0.0848,1.2364,3.9244,0
0.1978,0.1831,0.1104,0.7357,0.4384,1.3865,grey,-0.0219,0.8554,1.6674,0
-0.1066,-0.3875,-0.0466,0.4922,0.1725,-0.1705,distress,-0.1366,3.6818,0.969,0
-0.0082,0.0604,0.0773,1.1497,0.6409,1.4078,grey,0.0041,1.6018,2.7151,0
0.0585,0.1526,0.0994,0.4539,0.9396,1.6082,grey,0.0816,2.3785,2.7605,0
